"Statistic Label","Daily","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"Debit Card Transactions - Total","2020 March 01","Daily total","Number","3259740"
"Debit Card Transactions - Total","2020 March 02","Daily total","Number","3245856"
"Debit Card Transactions - Total","2020 March 03","Daily total","Number","3392281"
"Debit Card Transactions - Total","2020 March 04","Daily total","Number","3419662"
"Debit Card Transactions - Total","2020 March 05","Daily total","Number","3860407"
"Debit Card Transactions - Total","2020 March 06","Daily total","Number","4401660"
"Debit Card Transactions - Total","2020 March 07","Daily total","Number","4016649"
"Debit Card Transactions - Total","2020 March 08","Daily total","Number","3072928"
"Debit Card Transactions - Total","2020 March 09","Daily total","Number","3149519"
"Debit Card Transactions - Total","2020 March 10","Daily total","Number","3403546"
"Debit Card Transactions - Total","2020 March 11","Daily total","Number","3395214"
"Debit Card Transactions - Total","2020 March 12","Daily total","Number","4306187"
"Debit Card Transactions - Total","2020 March 13","Daily total","Number","4182647"
"Debit Card Transactions - Total","2020 March 14","Daily total","Number","3485386"
"Debit Card Transactions - Total","2020 March 15","Daily total","Number","2618653"
"Debit Card Transactions - Total","2020 March 16","Daily total","Number","3023871"
"Debit Card Transactions - Total","2020 March 17","Daily total","Number","1900589"
"Debit Card Transactions - Total","2020 March 18","Daily total","Number","2569826"
"Debit Card Transactions - Total","2020 March 19","Daily total","Number","2845019"
"Debit Card Transactions - Total","2020 March 20","Daily total","Number","3157636"
"Debit Card Transactions - Total","2020 March 21","Daily total","Number","2999882"
"Debit Card Transactions - Total","2020 March 22","Daily total","Number","2114836"
"Debit Card Transactions - Total","2020 March 23","Daily total","Number","2357289"
"Debit Card Transactions - Total","2020 March 24","Daily total","Number","2503606"
"Debit Card Transactions - Total","2020 March 25","Daily total","Number","2429213"
"Debit Card Transactions - Total","2020 March 26","Daily total","Number","2663348"
"Debit Card Transactions - Total","2020 March 27","Daily total","Number","3076632"
"Debit Card Transactions - Total","2020 March 28","Daily total","Number","2390651"
"Debit Card Transactions - Total","2020 March 29","Daily total","Number","1624134"
"Debit Card Transactions - Total","2020 March 30","Daily total","Number","1969495"
"Debit Card Transactions - Total","2020 March 31","Daily total","Number","2168584"
"Debit Card Transactions - Total","2020 April 01","Daily total","Number","2256317"
"Debit Card Transactions - Total","2020 April 02","Daily total","Number","2452613"
"Debit Card Transactions - Total","2020 April 03","Daily total","Number","2667815"
"Debit Card Transactions - Total","2020 April 04","Daily total","Number","2404419"
"Debit Card Transactions - Total","2020 April 05","Daily total","Number","1769638"
"Debit Card Transactions - Total","2020 April 06","Daily total","Number","2147326"
