County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Carlow,389,394,406,396,389,400,384,378,369,368,358,359
Cavan,NA ,NA ,288,289,311,328,312,318,313,311,310,311
Clare,369,375,386,389,378,387,385,382,360,359,354,361
Cork,445,440,459,452,442,442,430,429,418,412,409,405
Donegal,416,377,382,361,358,360,363,355,340,344,336,341
Dublin,374,376,392,383,387,398,372,378,377,371,372,376
Galway,NA ,NA ,407,389,382,394,390,394,403,420,423,425
Kerry,507,426,436,440,431,442,445,433,409,407,388,398
Kildare,369,372,384,377,373,378,354,359,360,357,359,366
Kilkenny,374,382,402,396,392,410,399,385,367,355,345,350
Laois,433,438,457,441,434,434,415,410,398,389,390,385
Leitrim,377,384,408,391,383,384,381,379,338,324,326,336
Limerick,396,396,411,405,386,380,363,361,360,351,349,352
Longford,NA ,NA ,NA ,NA ,NA ,474,421,431,420,420,419,418
Louth,386,385,393,380,374,383,374,376,371,372,361,365
Mayo,368,366,379,375,365,366,361,353,337,333,327,330
Meath,378,378,390,381,377,381,357,360,356,356,356,363
Monaghan,NA ,NA ,366,334,325,334,335,329,331,336,327,325
Offaly,413,413,428,419,411,413,406,409,408,409,407,417
Roscommon,413,414,424,418,412,421,420,414,400,410,413,428
Sligo,355,354,365,358,346,347,351,356,341,334,331,335
Tipperary,426,438,461,460,446,454,441,434,419,402,394,395
Waterford,NA ,NA ,NA ,NA ,369,393,387,381,365,357,357,367
Westmeath,414,421,436,433,422,435,415,415,412,410,401,407
Wexford,329,329,340,340,330,340,342,344,315,311,315,329
Wicklow,354,365,379,375,366,380,361,368,364,358,358,356
