Year,Month,meant,maxtp
2015,Jan,4.9,15
2015,Feb,4.4,12.7
2015,Mar,6.3,14.8
2015,Apr,8.5,18.9
2015,May,10.5,20.1
2015,Jun,13.6,25.6
2015,Jul,14.6,23.6
2015,Aug,14.4,24.2
2015,Sep,12.5,18.9
2015,Oct,10.7,18.1
2015,Nov,9.1,17.7
2015,Dec,8.9,15.6
2016,Jan,6,15.1
2016,Feb,4.9,12.1
2016,Mar,6.6,14.8
2016,Apr,7.2,14.6
2016,May,12.1,21.8
2016,Jun,14.7,23
2016,Jul,16.5,27
2016,Aug,16.1,23.7
2016,Sep,14.7,26
2016,Oct,11.2,17.2
2016,Nov,5.9,15.9
2016,Dec,6.9,16
2017,Jan,6.1,12.4
2017,Feb,6.8,14.1
2017,Mar,8.4,17.1
2017,Apr,9,18.7
2017,May,12.7,25.1
2017,Jun,15.2,28.6
2017,Jul,15.7,25.2
2017,Aug,15,22.9
2017,Sep,13.1,20
2017,Oct,11.7,19.9
2017,Nov,6.7,15.2
2017,Dec,5.5,13.8
2018,Jan,5.6,13.3
2018,Feb,3.8,12.7
2018,Mar,4.9,13.4
2018,Apr,8.9,20
2018,May,12.3,23
2018,Jun,15.7,27.9
2018,Jul,17.1,27.7
2018,Aug,16,26.2
2018,Sep,13,25.1
2018,Oct,9.9,20.2
2018,Nov,8.5,15.8
2018,Dec,8,13.6
2019,Jan,5.7,11.5
2019,Feb,7.7,16.6
2019,Mar,7.9,17.7
2019,Apr,8.7,22.1
2019,May,11.4,21.7
2019,Jun,13.3,24.1
2019,Jul,16.8,26.6
2019,Aug,16.2,23.4
2019,Sep,13.7,22.1
2019,Oct,9.8,17.1
2019,Nov,6.6,14
2019,Dec,6.3,14.2
2020,Jan,6.6,14.2
2020,Feb,6.2,13.8
2020,Mar,6.6,16.1
2020,Apr,9.7,20.5
2020,May,12.3,23.6
2020,Jun,14.1,26
2020,Jul,15.2,24
2020,Aug,15.6,25
2020,Sep,13.7,24.7
2020,Oct,10.1,15.8
2020,Nov,8.6,16.2
2020,Dec,5.1,14.1
2021,Jan,4.3,13.3
2021,Feb,6.6,14.6
2021,Mar,8,17.5
2021,Apr,6.9,17
2021,May,10,22.4
2021,Jun,14.7,25.6
2021,Jul,17.1,28
2021,Aug,15.5,22.9
2021,Sep,15.5,23.6
2021,Oct,12.3,20.4
2021,Nov,8,16.6
2021,Dec,6.8,14.6
